weighting_scheme,fold,class_idx,diff_loss,diff_acc
learn_hard,0,0,0.46675620116293437,-0.12
learn_hard,0,1,0.19689916091602888,-0.046511627906976716
learn_hard,0,2,-0.060719228920436685,0.0
learn_hard,0,3,-0.13918195001599254,0.1707317073170732
learn_hard,0,4,-0.2640689933990561,0.19512195121951215
learn_hard,0,5,-0.4195439235730605,0.16363636363636364
learn_hard,0,6,0.463176769603576,-0.25000000000000006
learn_hard,0,7,0.14599895856852796,-0.1132075471698113
learn_hard,0,8,0.3179645916011107,-0.042553191489361764
learn_hard,0,9,-0.022800912794012307,0.019230769230769162
learn_hard,1,0,0.4441309335619905,-0.18604651162790697
learn_hard,1,1,0.45771177356009884,-0.10869565217391303
learn_hard,1,2,-0.09029848866451251,0.019230769230769273
learn_hard,1,3,-0.12444492071866997,0.07999999999999996
learn_hard,1,4,-0.0646206688273836,0.0
learn_hard,1,5,-0.45638344449512025,0.1864406779661017
learn_hard,1,6,0.5442721738734029,-0.3181818181818182
learn_hard,1,7,0.1510659336733322,-0.14583333333333331
learn_hard,1,8,0.29604229948793837,-0.09999999999999998
learn_hard,1,9,-0.029783290810883045,-0.06818181818181812
learn_hard,2,0,0.43967141146803723,-0.051724137931034475
learn_hard,2,1,0.2581586906065543,-0.18750000000000006
learn_hard,2,2,-0.036217682232910886,0.06818181818181812
learn_hard,2,3,-0.20737953732411052,0.0625
learn_hard,2,4,0.011893396977992632,-0.05882352941176472
learn_hard,2,5,-0.5518538209525021,0.1272727272727272
learn_hard,2,6,0.14386765200358176,0.0
learn_hard,2,7,-0.1735866479575634,-0.10416666666666669
learn_hard,2,8,0.5194479622087389,-0.26415094339622647
learn_hard,2,9,0.07356214250127469,-0.09999999999999998
learn_hard,3,0,0.3817824446311108,-0.18367346938775508
learn_hard,3,1,0.16961364836796466,-0.06521739130434778
learn_hard,3,2,-0.0649053119122982,0.04347826086956519
learn_hard,3,3,-0.3118933931468648,0.08510638297872342
learn_hard,3,4,-0.3258844694860701,0.09433962264150941
learn_hard,3,5,-0.5671498558738015,0.09090909090909094
learn_hard,3,6,0.47569518550657297,-0.23076923076923078
learn_hard,3,7,-0.022231286318570964,-0.1764705882352941
learn_hard,3,8,0.4396773401309144,-0.1454545454545455
learn_hard,3,9,0.05221010123689962,0.052631578947368474
learn_hard,4,0,0.30372336946427836,-0.039999999999999925
learn_hard,4,1,0.06512400805950147,0.022222222222222254
learn_hard,4,2,-0.03122417474205197,0.02127659574468077
learn_hard,4,3,-0.20488620868750984,0.0
learn_hard,4,4,-0.23719990052855922,0.15384615384615385
learn_hard,4,5,-0.3841890873862248,0.11764705882352944
learn_hard,4,6,0.528949533688261,-0.17021276595744683
learn_hard,4,7,0.024031201807352298,-0.07692307692307687
learn_hard,4,8,0.3612261761266451,-0.11538461538461531
learn_hard,4,9,-0.09777359258044838,-0.054545454545454564
learn_hard,5,0,0.2778063872321085,-0.036363636363636376
learn_hard,5,1,0.16433209220045497,-0.10526315789473684
learn_hard,5,2,-0.02712111433549802,-0.020408163265306145
learn_hard,5,3,-0.33401472462962056,0.0625
learn_hard,5,4,-0.1438140023661696,0.0
learn_hard,5,5,-0.6762998485774325,0.26315789473684215
learn_hard,5,6,0.15701502639179443,-0.125
learn_hard,5,7,-0.0917514045205381,-0.0888888888888889
learn_hard,5,8,0.35421540516351036,-0.0625
learn_hard,5,9,-0.07659377411324919,-0.06382978723404253
learn_hard,6,0,0.3749130097074578,-0.07692307692307698
learn_hard,6,1,0.22853295791607642,-0.019230769230769273
learn_hard,6,2,-0.00790112029681811,-0.04255319148936165
learn_hard,6,3,-0.2222190909087658,0.038461538461538436
learn_hard,6,4,-0.3115906465960585,0.06521739130434778
learn_hard,6,5,-0.3819265793612663,0.17021276595744683
learn_hard,6,6,0.3263904674486682,-0.16363636363636364
learn_hard,6,7,-0.20542175600001977,0.09302325581395354
learn_hard,6,8,0.5565356030736281,-0.13043478260869568
learn_hard,6,9,0.07174878052125377,-0.033333333333333326
learn_hard,7,0,0.3251837705118725,-0.07692307692307698
learn_hard,7,1,0.13611361026471736,-0.09803921568627455
learn_hard,7,2,0.14165266801385168,0.0
learn_hard,7,3,-0.1837168304543746,-0.03508771929824561
learn_hard,7,4,-0.42320461856557956,0.17021276595744683
learn_hard,7,5,-0.5019255548715591,0.07500000000000001
learn_hard,7,6,0.6341419219970703,-0.19148936170212766
learn_hard,7,7,0.0643535184494235,-0.03508771929824561
learn_hard,7,8,0.4836889718677483,-0.13725490196078438
