fold,class_idx,baseline_loss,baseline_acc,weighted_loss,weighted_acc
0,0,0.7139588686078787,0.86,0.44829584918916227,0.88
0,1,1.6046822351771732,0.4883720930232558,1.5215094914270002,0.46511627906976744
0,2,0.9618564248085022,0.6612903225806451,1.0580701116592652,0.6612903225806451
0,3,1.4442741171252438,0.4878048780487805,1.893514335155487,0.3902439024390244
0,4,1.178963518360766,0.6097560975609756,1.6950323014724544,0.5121951219512195
0,5,1.8765472520481457,0.21818181818181817,2.688107916441831,0.12727272727272726
0,6,1.1821849414014391,0.6785714285714286,0.9505077388270625,0.7321428571428571
0,7,1.4176964130744618,0.5283018867924528,1.3869855963396576,0.6037735849056604
0,8,0.9168353495287135,0.7872340425531915,0.6134947668761015,0.8297872340425532
0,9,1.0156165931660395,0.6538461538461539,1.0190272932299054,0.6923076923076923
1,0,0.7142481092406914,0.8604651162790697,0.4472477592441232,0.9302325581395349
1,1,1.394866805685603,0.5,1.1396548396543316,0.6086956521739131
1,2,0.8071182840503752,0.7115384615384616,0.777216933381099,0.7884615384615384
1,3,1.6925557973980903,0.42,2.022905455827713,0.48
1,4,1.2816316181862797,0.5925925925925926,1.7317989123640236,0.4444444444444444
1,5,1.828440062827983,0.3220338983050847,2.4103888333854027,0.2033898305084746
1,6,1.2819983261552723,0.6136363636363636,1.0195207436230371,0.7045454545454546
1,7,1.3754526634390156,0.5625,1.564164557804664,0.5833333333333334
1,8,0.995515339076519,0.7166666666666667,0.5785389270633459,0.8333333333333334
1,9,1.2990854462947359,0.5909090909090909,1.4668777622282505,0.4772727272727273
2,0,0.8059602765173748,0.8103448275862069,0.6002480561427516,0.8103448275862069
2,1,1.349498146834473,0.5416666666666666,1.3179167800893385,0.5416666666666666
2,2,0.7717668024653738,0.8409090909090909,0.9018348471515558,0.8181818181818182
2,3,1.3954180845369895,0.5625,1.9361178098867338,0.3541666666666667
2,4,1.3283404349623358,0.5882352941176471,1.510601107688511,0.5588235294117647
2,5,1.7645980168472637,0.36363636363636365,2.2999781597744335,0.2
2,6,1.1819112540151064,0.6730769230769231,0.859735865217562,0.8653846153846154
2,7,1.4341234524423878,0.5416666666666666,1.6077426948274176,0.4583333333333333
2,8,0.7879080532716131,0.8301886792452831,0.5775168974321546,0.8867924528301887
2,9,1.1414984144891303,0.6166666666666667,1.3041639813532433,0.5333333333333333
3,0,0.8020715109091632,0.7551020408163265,0.5167131471086521,0.9387755102040817
3,1,1.3646403641804405,0.5869565217391305,1.3611599440160005,0.6304347826086957
3,2,0.8675442936465793,0.8260869565217391,1.036977388329156,0.6739130434782609
3,3,1.712222839606569,0.46808510638297873,2.1309984595851694,0.3404255319148936
3,4,1.6339862709337811,0.4528301886792453,1.9386920982374336,0.32075471698113206
3,5,1.933977422389117,0.2727272727272727,2.367297641255639,0.1590909090909091
3,6,1.3998476132177389,0.5384615384615384,1.154473823423569,0.7115384615384616
3,7,1.3256680760897843,0.6078431372549019,1.5900156974208122,0.5490196078431373
3,8,0.7438884080133655,0.8,0.5947920049667698,0.8
3,9,1.2576175495459323,0.6666666666666666,1.5770720103592204,0.5087719298245614
4,0,0.7587121163867414,0.78,0.5569119157083332,0.84
4,1,1.5099076482984755,0.5333333333333333,1.5866232070657942,0.4222222222222222
4,2,0.8515889303798371,0.851063829787234,0.9019159187978887,0.7446808510638298
4,3,1.5362989081411946,0.42857142857142855,2.015116213535776,0.3673469387755102
4,4,1.1812036190755093,0.6538461538461539,1.548485284814468,0.5192307692307693
4,5,1.833787296332565,0.35294117647058826,2.5818457322962143,0.13725490196078433
4,6,1.0942353733042454,0.6595744680851063,0.8331241029849712,0.7872340425531915
4,7,1.4785037635324092,0.5384615384615384,1.6841710579509919,0.4423076923076923
4,8,0.8363544182995191,0.7692307692307693,0.5522945631617824,0.9038461538461539
4,9,1.101190799068321,0.6909090909090909,1.2938284605741501,0.6
